Alberto_sample01.csv
0.12
Alberto_sample02.csv
0.38
Alberto_sample03.csv
4.55
Alberto_sample04.csv
21.90
Alberto_sample05.csv
3.23
Alberto_sample1.csv
310.09
Alberto_sample2.csv
305.00
Alberto_sample23.csv
79.06
Alberto_sample3.csv
289.09
Alberto_sample4.csv
24.42
Alberto_sample5.csv
3.89
Alberto_sample9.csv
3.63
Fiorenzo_sample01.csv
0.35
Fiorenzo_sample02.csv
7.29
Fiorenzo_sample03.csv
9.96
Fiorenzo_sample04.csv
33.92
Fiorenzo_sample05.csv
19.33
Fiorenzo_sample1.csv
1867.93
Fiorenzo_sample2.csv
3648.87
Fiorenzo_sample23.csv
623.03
Fiorenzo_sample3.csv
3823.68
Fiorenzo_sample4.csv
44.88
Fiorenzo_sample5.csv
16.70
Fiorenzo_sample9.csv
1659.17
