0 r 3 2
0 b1 1 1
0 b2 2 1
0 b3 3 1
0 b4 5 1
0 b5 6 2
0 b6 1 4
0 b7 2 5
0 b8 4 4
0 b9 5 4
0 b10 1 6
0 b11 3 6
0 b12 4 3
0 block 2 4
1 block 2 4
2 block 2 4
3 block 2 4
4 block 2 4
5 block 2 4
6 block 2 4
7 block 2 4
8 block 2 4
9 block 2 4
10 block 2 4
11 block 2 4
12 block 2 4
13 block 2 4
14 block 2 4
15 block 2 4
16 block 2 4
17 block 2 4
18 block 2 4
19 block 2 4
20 block 2 4
21 block 2 4
22 block 2 4
23 block 2 4
24 block 2 4
25 block 2 4
26 block 2 4
27 block 2 4
28 block 2 4
29 block 2 4
30 block 2 4
31 block 2 4
32 block 2 4
33 block 2 4
34 block 2 4
35 block 2 4
36 block 2 4
37 block 2 4
38 block 2 4
39 block 2 4
40 block 2 4
41 block 2 4
42 block 2 4
43 block 2 4
44 block 2 4
45 block 2 4
46 block 2 4
47 block 2 4
48 block 2 4
49 block 2 4
50 block 2 4
51 block 2 4
52 block 2 4
53 block 2 4
54 block 2 4
55 block 2 4
56 block 2 4
57 block 2 4
58 block 2 4
59 block 2 4
60 block 2 4
61 block 2 4
62 block 2 4
63 block 2 4
64 block 2 4
65 block 2 4
66 block 2 4
67 block 2 4
68 block 2 4
69 block 2 4
70 block 2 4
71 block 2 4
72 block 2 4
73 block 2 4
74 block 2 4
75 block 2 4
76 block 2 4
77 block 2 4
78 block 2 4
79 block 2 4
80 block 2 4
81 block 2 4
82 block 2 4
83 block 2 4
84 block 2 4
85 block 2 4
0 block1 6 1
1 block1 6 1
2 block1 6 1
3 block1 6 1
4 block1 6 1
5 block1 6 1
6 block1 6 1
7 block1 6 1
8 block1 6 1
9 block1 6 1
10 block1 6 1
11 block1 6 1
12 block1 6 1
13 block1 6 1
14 block1 6 1
15 block1 6 1
16 block1 6 1
17 block1 6 1
18 block1 6 1
19 block1 6 1
20 block1 6 1
21 block1 6 1
22 block1 6 1
23 block1 6 1
24 block1 6 1
25 block1 6 1
26 block1 6 1
27 block1 6 1
28 block1 6 1
29 block1 6 1
30 block1 6 1
31 block1 6 1
32 block1 6 1
33 block1 6 1
34 block1 6 1
35 block1 6 1
36 block1 6 1
37 block1 6 1
38 block1 6 1
39 block1 6 1
40 block1 6 1
41 block1 6 1
42 block1 6 1
43 block1 6 1
44 block1 6 1
45 block1 6 1
46 block1 6 1
47 block1 6 1
48 block1 6 1
49 block1 6 1
50 block1 6 1
51 block1 6 1
52 block1 6 1
53 block1 6 1
54 block1 6 1
55 block1 6 1
56 block1 6 1
57 block1 6 1
58 block1 6 1
59 block1 6 1
60 block1 6 1
61 block1 6 1
62 block1 6 1
63 block1 6 1
64 block1 6 1
65 block1 6 1
66 block1 6 1
67 block1 6 1
68 block1 6 1
69 block1 6 1
70 block1 6 1
71 block1 6 1
72 block1 6 1
73 block1 6 1
74 block1 6 1
75 block1 6 1
76 block1 6 1
77 block1 6 1
78 block1 6 1
79 block1 6 1
80 block1 6 1
81 block1 6 1
82 block1 6 1
83 block1 6 1
84 block1 6 1
85 block1 6 1
1 b12 4 3
1 b10 1 6
1 b9 5 4
1 b8 4 4
1 b7 2 5
1 b6 1 4
1 b5 6 2
1 b4 5 1
1 b3 3 1
1 b1 1 1
2 b1 1 1
2 b4 5 1
2 b5 6 2
2 b6 1 4
2 b7 2 5
2 b9 5 4
3 b5 6 2
3 b1 1 1
1 b11 3 6
1 r 3 2
2 r 3 2
2 b3 3 1
2 b8 4 4
2 b10 1 6
2 b12 4 3
3 b12 4 3
3 b9 5 4
3 b8 4 4
3 b7 2 5
3 b6 1 4
3 b4 5 1
3 b3 3 1
3 r 3 2
1 b2 2 2
2 b2 2 2
2 b11 4 6
4 r 3 2
4 b1 1 1
4 b3 3 1
4 b4 5 1
4 b5 6 2
4 b7 2 5
4 b8 4 4
4 b9 5 4
4 b12 4 3
5 b12 4 3
5 b9 5 4
5 b8 4 4
5 b7 2 5
5 b5 6 2
5 b4 5 1
5 b1 1 1
5 r 3 2
3 b11 4 6
3 b10 2 6
3 b2 2 2
4 b2 2 2
4 b6 1 5
4 b10 2 6
4 b11 4 6
6 r 3 2
6 b4 5 1
6 b5 6 2
6 b7 2 5
6 b8 4 4
6 b9 5 4
6 b12 4 3
7 b12 4 3
7 b9 5 4
7 b8 4 4
7 b7 2 5
7 b5 6 2
7 b4 5 1
7 r 3 2
5 b11 4 6
5 b10 2 6
5 b3 2 1
5 b6 1 5
5 b2 2 2
6 b1 1 2
6 b2 2 2
6 b6 1 5
6 b3 2 1
6 b10 2 6
6 b11 4 6
8 r 3 2
8 b4 5 1
8 b5 6 2
8 b7 2 5
8 b9 5 4
8 b12 4 3
7 b11 5 6
9 b12 4 3
9 b7 2 5
9 b5 6 2
9 b4 5 1
9 r 3 2
7 b10 2 6
7 b3 2 1
7 b6 1 5
7 b2 2 2
7 b1 1 2
8 b1 1 2
8 b2 2 2
8 b6 1 5
8 b8 4 5
8 b3 2 1
8 b10 2 6
10 r 3 2
10 b4 5 1
10 b5 6 2
10 b7 2 5
10 b12 4 3
8 b11 5 6
9 b11 5 6
11 b12 4 3
11 b7 2 5
11 b5 6 2
11 b4 5 1
11 r 3 2
9 b10 2 6
9 b9 4 4
9 b3 2 1
9 b8 4 5
9 b6 1 5
9 b2 2 2
9 b1 1 2
10 b1 1 2
10 b2 2 2
10 b6 1 5
10 b8 4 5
10 b3 2 1
10 b10 2 6
12 b4 5 1
12 b5 6 2
12 b7 2 5
12 b12 4 3
10 b11 5 6
10 b9 3 4
11 b9 3 4
11 b3 1 1
11 b11 5 6
13 b7 2 5
13 b5 6 2
13 b4 5 1
11 b10 2 6
11 b8 4 5
11 b6 1 5
11 b2 2 2
11 b1 1 2
12 b1 1 2
12 b2 2 2
12 b6 1 5
