Alberto_sample01.csv
0.13
Alberto_sample02.csv
0.43
Alberto_sample03.csv
4.61
Alberto_sample04.csv
22.16
Alberto_sample05.csv
3.22
Alberto_sample1.csv
316.00
Alberto_sample2.csv
303.86
Alberto_sample23.csv
79.88
Alberto_sample3.csv
301.25
Alberto_sample4.csv
24.42
Alberto_sample5.csv
3.89
Alberto_sample9.csv
3.69
Fiorenzo_sample01.csv
0.23
Fiorenzo_sample02.csv
3.39
Fiorenzo_sample03.csv
16.01
Fiorenzo_sample04.csv
41.85
Fiorenzo_sample05.csv
16.17
Fiorenzo_sample1.csv
1152.36
Fiorenzo_sample2.csv
0
Fiorenzo_sample23.csv
1551.92
Fiorenzo_sample3.csv
2161.34
Fiorenzo_sample4.csv
44.88
Fiorenzo_sample5.csv
16.70
Fiorenzo_sample9.csv
1005.53
